Ia, Ib, Ic, Va, Vb, Vc
2.002, 0.255, -2.176, 0.468, 0.483, 0.453
1.760, -0.470, -2.579, 0.468, 0.483, 0.453
1.599, 0.497, -1.773, 0.468, 0.483, 0.453
0.310, 0.819, -1.773, 0.468, 0.483, 0.453
-0.335, 1.786, -1.451, 0.468, 0.483, 0.453
-0.093, 2.350, -1.370, 0.468, 0.483, 0.453
-0.335, 1.947, -1.612, 0.468, 0.483, 0.453
-0.737, 1.383, -1.854, 0.468, 0.483, 0.453
-0.093, 1.544, -0.564, 0.468, 0.483, 0.453
-1.060, 1.383, 0.241, 0.468, 0.483, 0.453
-1.704, 1.222, 0.725, 0.468, 0.483, 0.453
-2.107, 1.302, 1.289, 0.468, 0.483, 0.453
-1.865, 1.786, 1.450, 0.468, 0.483, 0.453
-2.268, 0.980, 0.644, 0.468, 0.483, 0.453
-2.510, -0.228, 0.241, 0.468, 0.483, 0.453
-0.979, -0.067, 2.094, 0.468, 0.483, 0.453
-1.301, -1.115, 2.578, 0.468, 0.483, 0.453
-0.737, -0.873, 3.625, 0.468, 0.483, 0.453
-0.898, -1.034, 3.303, 0.468, 0.483, 0.453
-1.382, -1.034, 2.900, 0.468, 0.483, 0.453
-0.576, -1.356, 2.497, 0.468, 0.483, 0.453
-0.496, -2.242, 1.611, 0.468, 0.483, 0.453
0.955, -2.242, 1.772, 0.468, 0.483, 0.453
0.793, -2.565, 1.933, 0.468, 0.483, 0.453
0.793, -2.404, 1.772, 0.468, 0.483, 0.453
0.793, -2.645, 1.127, 0.468, 0.483, 0.453
0.955, -2.404, 0.644, 0.468, 0.483, 0.453
1.841, -1.517, -0.001, 0.468, 0.483, 0.453
2.566, -1.115, -1.128, 0.468, 0.483, 0.453
2.808, -1.115, -1.370, 0.468, 0.483, 0.453
2.808, -1.034, -1.209, 0.468, 0.483, 0.453
2.163, -1.195, -1.370, 0.468, 0.483, 0.453
2.727, -0.067, -0.806, 0.468, 0.483, 0.453
0.955, -0.470, -3.062, 0.468, 0.483, 0.453
1.921, 1.141, -2.418, 0.468, 0.483, 0.453
2.163, 1.866, -2.176, 0.468, 0.483, 0.453
1.680, 1.625, -2.981, 0.468, 0.483, 0.453
1.680, 1.464, -2.579, 0.468, 0.483, 0.453
0.471, 1.302, -2.740, 0.468, 0.483, 0.453
0.068, 2.511, -2.015, 0.468, 0.483, 0.453
-0.818, 2.592, -2.256, 0.468, 0.483, 0.453
-0.737, 2.994, -1.934, 0.468, 0.483, 0.453
-0.737, 2.833, -2.015, 0.468, 0.483, 0.453
-0.173, 2.672, -1.290, 0.468, 0.483, 0.453
-0.737, 2.350, -0.726, 0.468, 0.483, 0.453
-1.382, 1.866, -0.242, 0.468, 0.483, 0.453
-2.026, 1.383, 0.886, 0.468, 0.483, 0.453
-2.026, 1.544, 1.047, 0.468, 0.483, 0.453
-2.026, 1.544, 0.966, 0.468, 0.483, 0.453
-1.946, 0.980, 0.805, 0.468, 0.483, 0.453
-1.946, 0.497, 0.966, 0.468, 0.483, 0.453
-2.107, -1.034, 0.966, 0.468, 0.483, 0.453
-0.898, -0.470, 2.497, 0.468, 0.483, 0.453
-0.898, -1.034, 2.819, 0.468, 0.483, 0.453
-1.060, -1.195, 2.658, 0.468, 0.483, 0.453
-1.221, -0.792, 2.175, 0.468, 0.483, 0.453
-0.576, -0.873, 2.094, 0.468, 0.483, 0.453
0.068, -1.356, 1.852, 0.468, 0.483, 0.453
0.471, -2.323, 1.772, 0.468, 0.483, 0.453
1.438, -1.920, 2.014, 0.468, 0.483, 0.453
0.391, -2.968, 1.450, 0.468, 0.483, 0.453
0.632, -2.081, 1.772, 0.468, 0.483, 0.453
0.068, -2.001, 1.127, 0.468, 0.483, 0.453
0.793, -1.598, -0.162, 0.468, 0.483, 0.453
1.116, -1.598, -0.967, 0.468, 0.483, 0.453
2.163, -1.195, -0.887, 0.468, 0.483, 0.453
2.163, -1.115, -0.806, 0.468, 0.483, 0.453
1.438, -1.437, -1.128, 0.468, 0.483, 0.453
1.438, -0.389, -0.564, 0.468, 0.483, 0.453
1.680, 0.577, -1.048, 0.468, 0.483, 0.453
1.277, 0.577, -1.773, 0.468, 0.483, 0.453
1.599, 1.302, -1.854, 0.468, 0.483, 0.453
1.035, 0.577, -2.337, 0.468, 0.483, 0.453
1.599, 0.819, -1.773, 0.468, 0.483, 0.453
0.552, 0.739, -1.934, 0.468, 0.483, 0.453
-0.012, 1.625, -1.692, 0.468, 0.483, 0.453
-0.415, 2.350, -1.209, 0.468, 0.483, 0.453
-0.898, 2.350, -1.531, 0.468, 0.483, 0.453
-0.737, 2.350, -1.692, 0.468, 0.483, 0.453
-0.012, 2.592, -1.290, 0.468, 0.483, 0.453
-0.093, 2.028, -1.048, 0.468, 0.483, 0.453
-0.415, 1.705, -0.564, 0.468, 0.483, 0.453
-0.737, 1.705, 0.402, 0.468, 0.483, 0.453
-1.624, 1.302, 0.161, 0.468, 0.483, 0.453
-1.301, 1.625, 0.966, 0.468, 0.483, 0.453
-2.590, 0.336, -0.967, 0.468, 0.483, 0.453
-0.979, 0.819, 0.805, 0.468, 0.483, 0.453
-0.898, 0.094, 1.047, 0.468, 0.483, 0.453
-1.382, -1.276, 1.369, 0.468, 0.483, 0.453
-0.254, -0.551, 2.497, 0.468, 0.483, 0.453
-0.818, -0.953, 2.094, 0.468, 0.483, 0.453
-0.979, -1.034, 1.611, 0.468, 0.483, 0.453
-1.140, -1.920, 0.644, 0.468, 0.483, 0.453
0.310, -1.920, 1.289, 0.468, 0.483, 0.453
1.277, -2.404, 1.127, 0.468, 0.483, 0.453
2.082, -2.565, 1.450, 0.468, 0.483, 0.453
0.955, -3.531, 0.161, 0.468, 0.483, 0.453
1.599, -2.404, 1.127, 0.468, 0.483, 0.453
1.760, -2.081, 0.483, 0.468, 0.483, 0.453
2.405, -1.840, -0.323, 0.468, 0.483, 0.453
3.291, -1.356, -0.726, 0.468, 0.483, 0.453
3.210, -1.115, -1.370, 0.468, 0.483, 0.453
2.969, -1.195, -1.451, 0.468, 0.483, 0.453
3.049, -0.953, -1.290, 0.468, 0.483, 0.453
2.082, -0.631, -1.934, 0.468, 0.483, 0.453
2.002, 0.255, -2.015, 0.468, 0.483, 0.453
1.599, 0.980, -2.579, 0.468, 0.483, 0.453
1.116, 1.302, -3.384, 0.468, 0.483, 0.453
1.196, 1.705, -3.304, 0.468, 0.483, 0.453
0.229, 0.739, -3.465, 0.468, 0.483, 0.453
0.793, 1.866, -1.934, 0.468, 0.483, 0.453
0.068, 2.672, -1.531, 0.468, 0.483, 0.453
-1.221, 2.914, -1.773, 0.468, 0.483, 0.453
-1.140, 3.156, -1.692, 0.468, 0.483, 0.453
-1.704, 2.511, -1.934, 0.468, 0.483, 0.453
-2.188, 1.705, -2.498, 0.468, 0.483, 0.453
-0.737, 2.350, -0.887, 0.468, 0.483, 0.453
